term_str,n,n_chars,p,i,pos_group,n_pos
1s,1,2,5.359659983170668e-06,17.509427090311483,NNP,2
1t,1,2,5.359659983170668e-06,17.509427090311483,CD,1
1where,1,6,5.359659983170668e-06,17.509427090311483,EX,1
2,23,1,0.00012327217961292534,12.985865134254471,NNP,5
20,5,2,2.679829991585334e-05,15.187498995424122,CD,2
2000,1,4,5.359659983170668e-06,17.509427090311483,CD,1
20mm,1,4,5.359659983170668e-06,17.509427090311483,CD,1
21,3,2,1.6078979949512003e-05,15.924464589590327,CD,2
217,2,3,1.0719319966341335e-05,16.509427090311483,CD,1
22,10,2,5.359659983170668e-05,14.187498995424122,CD,4
22350,1,5,5.359659983170668e-06,17.509427090311483,CD,1
225,1,3,5.359659983170668e-06,17.509427090311483,CD,1
22nd,1,4,5.359659983170668e-06,17.509427090311483,CD,1
23,3,2,1.6078979949512003e-05,15.924464589590327,CD,1
237,12,3,6.431591979804801e-05,13.924464589590327,CD,1
24,3,2,1.6078979949512003e-05,15.924464589590327,CD,1
25,7,2,3.7517619882194674e-05,14.70207216825388,CD,1
25th,1,4,5.359659983170668e-06,17.509427090311483,CD,1
26,5,2,2.679829991585334e-05,15.187498995424122,CD,1
27,3,2,1.6078979949512003e-05,15.924464589590327,CD,2
28,4,2,2.143863993268267e-05,15.509427090311483,CD,1
29,4,2,2.143863993268267e-05,15.509427090311483,CD,2
292,1,3,5.359659983170668e-06,17.509427090311483,CD,1
2nd,3,3,1.6078979949512003e-05,15.924464589590327,CD,2
2s,1,2,5.359659983170668e-06,17.509427090311483,NNP,2
3,8,1,4.287727986536534e-05,14.509427090311483,NNP,6
30,6,2,3.2157959899024006e-05,14.924464589590327,CD,3
30mm,2,4,1.0719319966341335e-05,16.509427090311483,CD,1
30th,1,4,5.359659983170668e-06,17.509427090311483,CD,1
31,5,2,2.679829991585334e-05,15.187498995424122,CD,2
32,4,2,2.143863993268267e-05,15.509427090311483,CD,3
32000,1,5,5.359659983170668e-06,17.509427090311483,NN,1
33,4,2,2.143863993268267e-05,15.509427090311483,CD,2
34,4,2,2.143863993268267e-05,15.509427090311483,CD,1
35,4,2,2.143863993268267e-05,15.509427090311483,CD,1
357,2,3,1.0719319966341335e-05,16.509427090311483,NNP,2
36,4,2,2.143863993268267e-05,15.509427090311483,CD,2
360,3,3,1.6078979949512003e-05,15.924464589590327,CD,1
3680,1,4,5.359659983170668e-06,17.509427090311483,CD,1
37,3,2,1.6078979949512003e-05,15.924464589590327,CD,3
38,6,2,3.2157959899024006e-05,14.924464589590327,CD,2
3860,1,4,5.359659983170668e-06,17.509427090311483,CD,1
39,4,2,2.143863993268267e-05,15.509427090311483,CD,1
3acobi,1,6,5.359659983170668e-06,17.509427090311483,CD,1
4,7,1,3.7517619882194674e-05,14.70207216825388,CD,3
40,5,2,2.679829991585334e-05,15.187498995424122,CD,3
40s,1,3,5.359659983170668e-06,17.509427090311483,CD,3
41,4,2,2.143863993268267e-05,15.509427090311483,CD,1
415,1,3,5.359659983170668e-06,17.509427090311483,CD,1
41a,6,3,3.2157959899024006e-05,14.924464589590327,CD,1
41as,1,4,5.359659983170668e-06,17.509427090311483,CD,1
42,3,2,1.6078979949512003e-05,15.924464589590327,CD,2
426,3,3,1.6078979949512003e-05,15.924464589590327,CD,1
43,3,2,1.6078979949512003e-05,15.924464589590327,CD,1
43082,27,5,0.00014471081954560802,12.754539588148015,CD,1
44,13,2,6.967557978121868e-05,13.80898737217039,NN,4
45,5,2,2.679829991585334e-05,15.187498995424122,CD,2
46,3,2,1.6078979949512003e-05,15.924464589590327,CD,2
47,3,2,1.6078979949512003e-05,15.924464589590327,CD,1
48,4,2,2.143863993268267e-05,15.509427090311483,CD,1
49,3,2,1.6078979949512003e-05,15.924464589590327,CD,1
4th,1,3,5.359659983170668e-06,17.509427090311483,CD,1
5,3,1,1.6078979949512003e-05,15.924464589590327,CD,4
50,4,2,2.143863993268267e-05,15.509427090311483,CD,2
500mm,1,5,5.359659983170668e-06,17.509427090311483,CD,1
50s,1,3,5.359659983170668e-06,17.509427090311483,CD,2
51,3,2,1.6078979949512003e-05,15.924464589590327,CD,2
516,1,3,5.359659983170668e-06,17.509427090311483,CD,1
52,2,2,1.0719319966341335e-05,16.509427090311483,CD,2
525,1,3,5.359659983170668e-06,17.509427090311483,CD,1
527,1,3,5.359659983170668e-06,17.509427090311483,CD,1
53,5,2,2.679829991585334e-05,15.187498995424122,CD,2
54,3,2,1.6078979949512003e-05,15.924464589590327,CD,1
55,2,2,1.0719319966341335e-05,16.509427090311483,CD,1
56,3,2,1.6078979949512003e-05,15.924464589590327,CD,1
560,1,3,5.359659983170668e-06,17.509427090311483,CD,1
57,3,2,1.6078979949512003e-05,15.924464589590327,CD,1
58,3,2,1.6078979949512003e-05,15.924464589590327,CD,1
585,1,3,5.359659983170668e-06,17.509427090311483,CD,1
59,2,2,1.0719319966341335e-05,16.509427090311483,CD,1
6,5,1,2.679829991585334e-05,15.187498995424122,CD,3
60,3,2,1.6078979949512003e-05,15.924464589590327,CD,2
600,1,3,5.359659983170668e-06,17.509427090311483,CD,1
61,4,2,2.143863993268267e-05,15.509427090311483,CD,1
611,1,3,5.359659983170668e-06,17.509427090311483,CD,1
6122,1,4,5.359659983170668e-06,17.509427090311483,CD,1
62,4,2,2.143863993268267e-05,15.509427090311483,CD,1
622,1,3,5.359659983170668e-06,17.509427090311483,CD,1
63,4,2,2.143863993268267e-05,15.509427090311483,CD,1
64,4,2,2.143863993268267e-05,15.509427090311483,CD,1
642,1,3,5.359659983170668e-06,17.509427090311483,CD,1
65,3,2,1.6078979949512003e-05,15.924464589590327,CD,2
66,3,2,1.6078979949512003e-05,15.924464589590327,CD,1
666,1,3,5.359659983170668e-06,17.509427090311483,CD,1
67,3,2,1.6078979949512003e-05,15.924464589590327,CD,1
68,5,2,2.679829991585334e-05,15.187498995424122,CD,2
69,3,2,1.6078979949512003e-05,15.924464589590327,CD,1
6ti,1,3,5.359659983170668e-06,17.509427090311483,CD,1
6x10,1,4,5.359659983170668e-06,17.509427090311483,CD,1
7,3,1,1.6078979949512003e-05,15.924464589590327,CD,3
70,5,2,2.679829991585334e-05,15.187498995424122,CD,1
700,2,3,1.0719319966341335e-05,16.509427090311483,CD,1
71,3,2,1.6078979949512003e-05,15.924464589590327,CD,1
72,3,2,1.6078979949512003e-05,15.924464589590327,CD,1
72683,1,5,5.359659983170668e-06,17.509427090311483,CD,1
73,3,2,1.6078979949512003e-05,15.924464589590327,CD,2
730,1,3,5.359659983170668e-06,17.509427090311483,CD,1
74,3,2,1.6078979949512003e-05,15.924464589590327,CD,1
75,3,2,1.6078979949512003e-05,15.924464589590327,CD,1
76,3,2,1.6078979949512003e-05,15.924464589590327,CD,1
77,3,2,1.6078979949512003e-05,15.924464589590327,CD,1
78,3,2,1.6078979949512003e-05,15.924464589590327,CD,1
